timestamp,value
1565123700000,128.48
1565124000000,82.4
1565124300000,153.36
1565124600000,156.44
1565124900000,99.96
1565125200000,207.0
1565125500000,214.64
1565125800000,218.08
1565126100000,220.28
1565126400000,313.16
1565126700000,161.56
1565127000000,240.68
1565127300000,207.6
1565127600000,181.88
1565127900000,262.92
1565128200000,365.72
1565128500000,482.24
1565128800000,423.2
1565129100000,447.16
1565129400000,490.4
1565129700000,553.96
1565130000000,365.84
1565130300000,267.04
1565130600000,336.84
1565130900000,282.52
1565131200000,269.0
1565131500000,328.8
1565131800000,256.8
1565132100000,359.08
1565132400000,530.0
1565132700000,452.6
1565133000000,450.16
1565133300000,496.08
1565133600000,441.08
1565133900000,436.28
1565134200000,423.44
1565134500000,320.76
1565134800000,318.48
1565135100000,371.96
1565135400000,315.0
1565135700000,319.28
1565136000000,411.84
1565136300000,359.24
1565136600000,358.28
1565136900000,447.96
1565137200000,404.52
1565137500000,383.36
1565137800000,424.6
1565138100000,375.48
1565138400000,339.04
1565138700000,372.8
1565139000000,332.72
1565139300000,314.96
1565139600000,381.92
1565139900000,349.28
1565140200000,370.56
1565140500000,456.76
1565140800000,383.48
1565141100000,388.76
1565141400000,457.92
1565141700000,394.84
1565142000000,360.24
1565142300000,376.12
1565142600000,354.08
1565142900000,347.64
1565143200000,383.64
1565143500000,358.08
1565143800000,367.36
1565144100000,399.0
1565144400000,357.92
1565144700000,353.16
1565145000000,374.56
1565145300000,351.28
1565145600000,336.2
1565145900000,369.64
1565146200000,341.76
1565146500000,342.16
1565146800000,382.2
1565147100000,390.36
1565147400000,388.68
1565147700000,389.92
1565148000000,359.24
1565148300000,406.6
1565148600000,393.48
1565148900000,347.44
1565149200000,337.92
1565149500000,352.08
1565149800000,335.72
1565150100000,284.84
1565150400000,342.08
1565150700000,302.92
1565151000000,298.28
1565151300000,318.12
1565151600000,292.12
1565151900000,270.28
1565152200000,304.0
1565152500000,266.6
1565152800000,276.4
1565153100000,293.16
1565153400000,258.76
1565153700000,267.16
1565154000000,316.08
1565154300000,294.36
1565154600000,279.88
1565154900000,300.52
1565155200000,273.24
1565155500000,281.96
1565155800000,303.56
1565156100000,295.64
1565156400000,287.56
1565156700000,329.92
1565157000000,315.52
1565157300000,308.0
1565157600000,368.2
1565157900000,340.32
1565158200000,311.48
1565158500000,331.04
1565158800000,312.28
1565159100000,311.96
1565159400000,332.96
1565159700000,314.28
1565160000000,299.0
1565160300000,323.92
1565160600000,307.28
1565160900000,290.72
1565161200000,345.24
1565161500000,299.76
